  dual 0.100000E+00 0.100000E-02 0.100000E-01 0.100000E+01 0.200000E+01 0.203841E+04 0.705602E+00 0.899658E-01 0.659379E-03 0.483174E-02 
  dual 0.100000E+00 0.100000E-02 0.100000E-01 0.100000E+01 0.300000E+01 0.358783E+04 0.481827E+00 0.168430E+00 0.325201E-02 0.494467E-02 
  dual 0.100000E+00 0.100000E-02 0.999999E-02 0.100000E+01 0.400000E+01 0.535392E+04 0.226759E+00 0.155495E+00 0.487720E-02 0.493067E-02 
  dual 0.100000E+00 0.100000E-02 0.409816E-04 0.100000E+01 0.500000E+01 0.655725E+04 0.529681E-01 0.633291E-01 0.522245E-02 0.529279E-02 
  dual 0.100000E+00 0.100000E-02 0.898784E-10 0.100000E+01 0.600000E+01 0.690674E+04 0.249218E-02 0.206713E-01 0.375090E-02 0.391280E-02 
  dual 0.100000E+00 0.100000E-02 0.203962E-11 0.100000E+01 0.700000E+01 0.692395E+04 0.693324E-05 0.136211E-01 0.219407E-02 0.341414E-02 
  dual 0.100000E+00 0.100000E-02 0.169278E-11 0.100000E+01 0.800000E+01 0.692400E+04 0.774086E-10 0.118635E-01 0.169541E-02 0.338005E-02 
  dual 0.100000E+00 0.100000E-02 0.169190E-11 0.100000E+01 0.900000E+01 0.692400E+04 0.169197E-11 0.115918E-01 0.166133E-02 0.338005E-02 
  dual 0.100000E+00 0.100000E-02 0.169190E-11 0.100000E+01 0.100000E+02 0.692400E+04 0.169197E-11 0.102357E-01 0.166133E-02 0.338005E-02 
  dual 0.100000E+00 0.100000E-02 0.169190E-11 0.100000E+01 0.110000E+02 0.692400E+04 0.169197E-11 0.102161E-01 0.166133E-02 0.338005E-02 
  dual 0.100000E+00 0.100000E-02 0.169190E-11 0.100000E+01 0.120000E+02 0.692400E+04 0.169197E-11 0.102161E-01 0.166133E-02 0.338005E-02 
  dual 0.100000E+00 0.100000E-02 0.169190E-11 0.100000E+01 0.130000E+02 0.692400E+04 0.169197E-11 0.102161E-01 0.166133E-02 0.338005E-02 
  dual 0.100000E+00 0.100000E-02 0.169190E-11 0.100000E+01 0.140000E+02 0.692400E+04 0.169197E-11 0.102161E-01 0.166133E-02 0.338005E-02 
  dual 0.100000E+00 0.100000E-02 0.169190E-11 0.100000E+01 0.150000E+02 0.692400E+04 0.169197E-11 0.102161E-01 0.166133E-02 0.338005E-02 
  dual 0.100000E+00 0.100000E-02 0.169190E-11 0.100000E+01 0.160000E+02 0.692400E+04 0.169197E-11 0.102161E-01 0.166133E-02 0.338005E-02 
  dual 0.100000E+00 0.100000E-02 0.169190E-11 0.100000E+01 0.170000E+02 0.692400E+04 0.169197E-11 0.102161E-01 0.166133E-02 0.338005E-02 
  dual 0.100000E+00 0.100000E-02 0.169190E-11 0.100000E+01 0.180000E+02 0.692400E+04 0.169197E-11 0.102161E-01 0.166133E-02 0.338005E-02 
  dual 0.100000E+00 0.100000E-02 0.169190E-11 0.100000E+01 0.190000E+02 0.692400E+04 0.169197E-11 0.102161E-01 0.166133E-02 0.338005E-02 
  dual 0.100000E+00 0.100000E-02 0.169190E-11 0.100000E+01 0.200000E+02 0.692400E+04 0.169197E-11 0.102161E-01 0.166133E-02 0.338005E-02 
  dual 0.100000E+00 0.100000E-02 0.169190E-11 0.100000E+01 0.210000E+02 0.692400E+04 0.169197E-11 0.102161E-01 0.166133E-02 0.338005E-02 
