36   0.317114E-01 0.524697E-02 0.106759E-01 
48   0.182276E-01 0.295191E-02 0.600593E-02 
64   0.102161E-01 0.166133E-02 0.338005E-02 
80   0.661550E-02 0.107939E-02 0.219749E-02 
96   0.464138E-02 0.742372E-03 0.151069E-02 
112  0.341300E-02 0.547715E-03 0.111477E-02 
128  0.258434E-02 0.417032E-03 0.848571E-03 

