# 1 products
 24 7.614000e+01 2.852000e-02   0.98   4.09%
 48 7.653000e+01 9.910000e-02   0.98   2.03%
# 4096 products
  1 2.174000e+01 4.559000e-01   1.00 100.00%
 16 8.080000e+00 7.870000e-03   2.69  16.82%
 24 8.275000e+00 1.266000e-02   2.63  10.95%
 48 9.284000e+00 9.483000e-02   2.34   4.88%
# 4096 products
  1 2.312000e+01 3.507000e-01   1.00 100.00%
 16 4.718000e+00 3.742000e-02   4.90  30.63%
 24 4.933000e+00 3.372000e-02   4.69  19.53%
 48 1.261000e+01 1.335000e-02   1.83   3.82%
# 4096 products
  1 2.548000e+01 5.299000e-03   1.00 100.00%
 16 2.063000e+01 9.207000e-02   1.24   7.72%
 24 3.485000e+01 2.516000e-02   0.73   3.05%
 48 7.470000e+01 7.538000e-01   0.34   0.71%
