  dual 0.100000E-02 0.100000E-04 0.100000E+00 0.100000E+01 0.200000E+01 0.589986E+04 0.619364E+00 0.217274E+00 0.527680E-02 0.292583E-01 
  dual 0.100000E-02 0.100000E-04 0.100000E+00 0.100000E+01 0.300000E+01 0.946339E+04 0.389459E+00 0.253229E+00 0.190594E-01 0.491149E-01 
  dual 0.100000E-02 0.100000E-04 0.998782E-01 0.100000E+01 0.400000E+01 0.132617E+05 0.144404E+00 0.322476E+00 0.342248E-01 0.632881E-01 
  dual 0.100000E-02 0.100000E-04 0.854884E-06 0.100000E+01 0.500000E+01 0.149375E+05 0.362896E-01 0.332132E+00 0.481652E-01 0.721454E-01 
  dual 0.100000E-02 0.100000E-04 0.257277E-09 0.100000E+01 0.600000E+01 0.154648E+05 0.226790E-02 0.212299E+00 0.347284E-01 0.727574E-01 
  dual 0.100000E-02 0.100000E-04 0.200560E-10 0.100000E+01 0.700000E+01 0.154992E+05 0.500083E-04 0.109186E+00 0.172068E-01 0.740178E-01 
  dual 0.100000E-02 0.100000E-04 0.169826E-10 0.100000E+01 0.800000E+01 0.155000E+05 0.155588E-05 0.630376E-01 0.103843E-01 0.743892E-01 
  dual 0.100000E-02 0.100000E-04 0.169210E-10 0.100000E+01 0.900000E+01 0.155000E+05 0.626894E-07 0.483217E-01 0.891483E-02 0.748784E-01 
  dual 0.100000E-02 0.100000E-04 0.169191E-10 0.100000E+01 0.100000E+02 0.155000E+05 0.524639E-07 0.444795E-01 0.873981E-02 0.749165E-01 
  dual 0.100000E-02 0.100000E-04 0.169190E-10 0.100000E+01 0.110000E+02 0.155000E+05 0.518705E-07 0.415805E-01 0.869684E-02 0.751262E-01 
  dual 0.100000E-02 0.100000E-04 0.169190E-10 0.100000E+01 0.120000E+02 0.155000E+05 0.436091E-07 0.383153E-01 0.870432E-02 0.750818E-01 
  dual 0.100000E-02 0.100000E-04 0.169190E-10 0.100000E+01 0.130000E+02 0.155000E+05 0.876413E-08 0.368646E-01 0.871245E-02 0.752745E-01 
  dual 0.100000E-02 0.100000E-04 0.169190E-10 0.100000E+01 0.140000E+02 0.155000E+05 0.829970E-09 0.365062E-01 0.871275E-02 0.751574E-01 
  dual 0.100000E-02 0.100000E-04 0.169190E-10 0.100000E+01 0.150000E+02 0.155000E+05 0.464481E-09 0.364632E-01 0.872761E-02 0.753256E-01 
  dual 0.100000E-02 0.100000E-04 0.169190E-10 0.100000E+01 0.160000E+02 0.155000E+05 0.106352E-08 0.365329E-01 0.874138E-02 0.752128E-01 
  dual 0.100000E-02 0.100000E-04 0.169190E-10 0.100000E+01 0.170000E+02 0.155000E+05 0.600733E-08 0.364779E-01 0.873891E-02 0.753539E-01 
  dual 0.100000E-02 0.100000E-04 0.169190E-10 0.100000E+01 0.180000E+02 0.155000E+05 0.591640E-09 0.365837E-01 0.876006E-02 0.752320E-01 
  dual 0.100000E-02 0.100000E-04 0.169190E-10 0.100000E+01 0.190000E+02 0.155000E+05 0.147560E-08 0.366253E-01 0.876593E-02 0.753764E-01 
  dual 0.100000E-02 0.100000E-04 0.169190E-10 0.100000E+01 0.200000E+02 0.155000E+05 0.126636E-08 0.366256E-01 0.875898E-02 0.752423E-01 
  dual 0.100000E-02 0.100000E-04 0.169190E-10 0.100000E+01 0.210000E+02 0.155000E+05 0.545098E-08 0.366905E-01 0.877131E-02 0.753796E-01 
