  1   0.100000E-01,   0.100000E-01,   0.285000E+01,   0.800000E-01,   0.610607E+00,            NaN,   0.000000E+00,            NaN,   0.000000E+00,            NaN,   0.000000E+00,   
  2   0.100000E-01,   0.100000E-01,   0.285000E+01,   0.800000E-01,   0.432856E+00,   0.271016E+01,   0.157769E+01,   0.425609E+00,   0.179114E+00,   0.191639E+01,   0.294047E+01,   
  3   0.100000E-01,   0.100000E-01,   0.285000E+01,   0.800000E-01,   0.468685E+00,   0.331374E+01,   0.287223E+01,   0.544293E+00,   0.918335E+01,   0.192810E+01,   0.633649E+01,   
  4   0.100000E-01,   0.100000E-01,   0.285000E+01,   0.800000E-01,   0.259765E+00,   0.390766E+01,   0.513356E+01,   0.262314E+00,   0.362878E+02,   0.212279E+01,   0.157055E+02,   
  5   0.100000E-01,   0.100000E-01,   0.135925E+01,   0.100000E-01,   0.276762E+02,   0.223158E+01,   0.124992E+02,   0.495659E-01,   0.224874E+03,   0.120356E+01,   0.829141E+02,   
  6   0.100000E-01,   0.100000E-01,   0.135925E+01,   0.100000E-01,   0.108545E+12,   0.408303E+00,   0.252442E+03,   0.760649E-01,   0.131490E+04,   0.141406E+01,   0.811046E+05,   
  7   0.100000E-01,   0.100000E-01,   0.100000E+01,   0.100000E-01,   0.307248E+40,   0.935717E-01,   0.161498E+08,   0.276881E-01,   0.545781E+08,   0.969578E+00,   0.336488E+15,   
  8   0.100000E-01,   0.100000E-01,   0.100000E+01,   0.100000E-01,   0.696834+125,   0.486410E-02,   0.271710E+22,   0.143931E-02,   0.918235E+22,   0.998471E+00,   0.952468E+43,   
  9   0.100000E-01,   0.100000E-01,   0.100000E+01,   0.100000E-01,            NaN,   0.187162E-04,   0.129397E+65,   0.553819E-05,   0.437295E+65,   0.999995E+00,   0.216018+129,   
 10   0.100000E-01,   0.100000E-01,   0.100000E+01,   0.100000E-01,            NaN,   0.000000E+00,       Infinity,   0.000000E+00,       Infinity,            NaN,            NaN,   
 11   0.100000E-01,   0.100000E-01,   0.100000E+01,   0.100000E-01,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,   
 12   0.100000E-01,   0.100000E-01,   0.100000E+01,   0.100000E-01,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,   
 13   0.100000E-01,   0.100000E-01,   0.100000E+01,   0.100000E-01,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,   
 14   0.100000E-01,   0.100000E-01,   0.100000E+01,   0.100000E-01,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,   
 15   0.100000E-01,   0.100000E-01,   0.100000E+01,   0.100000E-01,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,   
 16   0.100000E-01,   0.100000E-01,   0.100000E+01,   0.100000E-01,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,   
 17   0.100000E-01,   0.100000E-01,   0.100000E+01,   0.100000E-01,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,   
