  1   0.100000E-01,   0.100000E-02,   0.285000E+01,   0.800000E-01,   0.613784E+00,            NaN,   0.000000E+00,            NaN,   0.000000E+00,            NaN,   0.000000E+00,   
  2   0.100000E-01,   0.100000E-02,   0.285000E+01,   0.800000E-01,   0.429784E+00,   0.271854E+01,   0.368401E+00,   0.451155E+00,   0.487121E+00,   0.196573E+01,   0.127714E+01,   
  3   0.100000E-01,   0.100000E-02,   0.285000E+01,   0.800000E-01,   0.451866E+00,   0.269812E+01,   0.118288E+01,   0.547997E+00,   0.470410E+01,   0.212247E+01,   0.300685E+01,   
  4   0.100000E-01,   0.100000E-02,   0.285000E+01,   0.800000E-01,   0.370613E+00,   0.261356E+01,   0.240277E+01,   0.258236E+00,   0.155537E+02,   0.214386E+01,   0.560217E+01,   
  5   0.100000E-01,   0.100000E-02,   0.135925E+01,   0.100000E-01,   0.135201E+00,   0.143953E+01,   0.349643E+01,   0.500908E-01,   0.744489E+02,   0.113296E+01,   0.111355E+02,   
  6   0.100000E-01,   0.100000E-02,   0.135925E+01,   0.100000E-01,   0.701221E-01,   0.157024E+01,   0.351635E+01,   0.352212E-01,   0.119439E+03,   0.136845E+01,   0.145821E+02,   
  7   0.100000E-01,   0.100000E-02,   0.100000E+01,   0.100000E-01,   0.302906E+01,   0.347984E+00,   0.573424E+01,   0.965233E-02,   0.202955E+03,   0.974225E+00,   0.842817E+02,   
  8   0.100000E-01,   0.100000E-02,   0.100000E+01,   0.100000E-01,   0.663998E+08,   0.181834E-01,   0.766063E+02,   0.128595E-02,   0.116808E+04,   0.998845E+00,   0.246675E+05,   
  9   0.100000E-01,   0.100000E-02,   0.100000E+01,   0.100000E-01,   0.703336E+30,   0.632276E-04,   0.355762E+06,   0.395704E-05,   0.535928E+07,   0.999997E+00,   0.541859E+12,   
 10   0.100000E-01,   0.100000E-02,   0.100000E+01,   0.100000E-01,   0.835897E+96,   0.179932E-08,   0.366148E+17,   0.105705E-09,   0.551578E+18,   0.100000E+01,   0.573962E+34,   
 11   0.100000E-01,   0.100000E-02,   0.100000E+01,   0.100000E-01,   0.140320+295,   0.447972E-13,   0.399164E+50,   0.507570E-14,   0.601314E+51,   0.000000E+00,   0.682138+100,   
 12   0.100000E-01,   0.100000E-02,   0.100000E+01,   0.100000E-01,            NaN,   0.237404E-13,   0.517173+149,   0.269947E-14,   0.779086+150,            NaN,       Infinity,   
 13   0.100000E-01,   0.100000E-02,   0.100000E+01,   0.100000E-01,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,   
 14   0.100000E-01,   0.100000E-02,   0.100000E+01,   0.100000E-01,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,   
 15   0.100000E-01,   0.100000E-02,   0.100000E+01,   0.100000E-01,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,   
 16   0.100000E-01,   0.100000E-02,   0.100000E+01,   0.100000E-01,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,   
 17   0.100000E-01,   0.100000E-02,   0.100000E+01,   0.100000E-01,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,   
