  1   0.100000E-02,   0.100000E-03,   0.100000E+01,   0.695264-309,   0.909440E+00,            NaN,   0.000000E+00,            NaN,   0.000000E+00,            NaN,   0.000000E+00,   
  2   0.100000E-02,   0.100000E-03,   0.100000E+01,   0.695264-309,   0.839786E+00,   0.250031E+01,   0.142061E-02,   0.295362E+00,   0.567679E-03,   0.557294E+00,   0.130637E-01,   
  3   0.100000E-02,   0.100000E-03,   0.100000E+01,   0.695264-309,   0.734238E+00,   0.849363E+00,   0.104836E-01,   0.383854E+00,   0.185325E-01,   0.671708E+00,   0.196120E-01,   
  4   0.100000E-02,   0.100000E-03,   0.100000E+01,   0.695264-309,   0.599256E+00,   0.929817E+00,   0.164799E-01,   0.329626E+00,   0.391547E-01,   0.734074E+00,   0.281759E-01,   
  5   0.100000E-02,   0.100000E-03,   0.100000E+01,   0.695264-309,   0.469023E+00,   0.107531E+01,   0.191782E-01,   0.236571E+00,   0.719996E-01,   0.639161E+00,   0.308270E-01,   
  6   0.100000E-02,   0.100000E-03,   0.100000E+01,   0.695264-309,   0.374738E+00,   0.118283E+01,   0.226679E-01,   0.153213E+00,   0.137937E+00,   0.610766E+00,   0.354881E-01,   
  7   0.100000E-02,   0.100000E-03,   0.100000E+01,   0.695264-309,   0.316264E+00,   0.127352E+01,   0.256239E-01,   0.963482E-01,   0.256923E+00,   0.558784E+00,   0.387979E-01,   
  8   0.100000E-02,   0.100000E-03,   0.100000E+01,   0.695264-309,   0.281847E+00,   0.146606E+01,   0.290767E-01,   0.606022E-01,   0.464548E+00,   0.542096E+00,   0.450297E-01,   
  9   0.100000E-02,   0.100000E-03,   0.100000E+01,   0.695264-309,   0.255948E+00,   0.178071E+01,   0.319973E-01,   0.381974E-01,   0.816732E+00,   0.522381E+00,   0.528059E-01,   
 10   0.100000E-02,   0.100000E-03,   0.100000E+01,   0.695264-309,   0.231741E+00,   0.237554E+01,   0.354378E-01,   0.245874E-01,   0.141893E+01,   0.498818E+00,   0.672094E-01,   
 11   0.100000E-02,   0.100000E-03,   0.100000E+01,   0.695264-309,   0.209025E+00,   0.310545E+01,   0.395101E-01,   0.161462E-01,   0.246777E+01,   0.474708E+00,   0.882410E-01,   
 12   0.100000E-02,   0.100000E-03,   0.100000E+01,   0.695264-309,   0.189093E+00,   0.449091E+01,   0.461883E-01,   0.111903E-01,   0.435295E+01,   0.434907E+00,   0.132443E+00,   
 13   0.100000E-02,   0.100000E-03,   0.100000E+01,   0.695264-309,   0.171691E+00,   0.460096E+01,   0.565713E-01,   0.783857E-02,   0.818422E+01,   0.452104E+00,   0.171785E+00,   
 14   0.100000E-02,   0.100000E-03,   0.100000E+01,   0.695264-309,   0.156490E+00,   0.492440E+01,   0.689411E-01,   0.541746E-02,   0.154179E+02,   0.462980E+00,   0.228923E+00,   
 15   0.100000E-02,   0.100000E-03,   0.100000E+01,   0.695264-309,   0.141357E+00,   0.514411E+01,   0.862420E-01,   0.369520E-02,   0.299668E+02,   0.488234E+00,   0.308710E+00,   
 16   0.100000E-02,   0.100000E-03,   0.100000E+01,   0.695264-309,   0.123629E+00,   0.441591E+01,   0.114063E+00,   0.250560E-02,   0.600680E+02,   0.533464E+00,   0.380862E+00,   
